V1,index
-0.5995282176947021,218.2022-06-01
-0.01773642243440945,218.2022-07-01
0.19210107391321873,218.2022-08-01
0.09373172128125191,218.2022-09-01
0.0034271145292937774,218.2022-10-01
-0.02811271968287472,218.2022-11-01
0.160561239701881,218.2022-12-01
0.06350176617739275,218.2023-01-01
0.16515865853271,218.2023-02-01
0.0364822990836584,218.2023-03-01
0.2424928937237436,218.2023-04-01
0.2047632386275994,218.2023-05-01
0.62335950735232315,218.2023-06-01
0.4304477037944083,218.2023-07-01
0.2781935203980006,218.2023-08-01
0.42394967606218037,218.2023-09-01
0.5523691964710759,218.2023-10-01
0.5842942892455385,218.2023-11-01
-0.2865955303628116,26.2022-04-01
-0.17769577705622733,26.2022-05-01
-0.13079696820275927,26.2022-06-01
-0.06299146142681401,26.2022-07-01
-0.2169921503010955,26.2022-08-01
-0.18606872978676095,26.2022-09-01
-0.20201843422173443,26.2022-10-01
-0.16077008426605235,26.2022-11-01
-0.1967532338845929,26.2022-12-01
-0.18681356300497504,26.2023-01-01
-0.13328830689843682,26.2023-02-01
-0.23096419412137134,26.2023-03-01
-0.1554278322167333,26.2023-04-01
-0.05821425526763285,26.2023-05-01
-0.09352962337983872,26.2023-06-01
-0.1729956226084931,26.2023-07-01
-0.14964895379803703,26.2023-08-01
0.07842411444775475,26.2023-09-01
-0.009877147784836986,26.2023-10-01
0.11715544180364523,26.2023-11-01
-0.6824358600739489,293.2022-04-01
-1.1262537226064464,293.2022-05-01
-0.96945348818726,293.2022-06-01
-0.42957782438825837,293.2022-07-01
-0.6967417946471597,293.2022-08-01
-1.0330211507883484,293.2022-09-01
-0.477247150364673,293.2022-10-01
-0.7785450291467457,293.2022-11-01
-0.18411675307850606,293.2022-12-01
-0.5335462681105076,293.2023-01-01
-0.488573752063906,293.2023-02-01
-0.43779667369369485,293.2023-03-01
-0.5348818311225658,293.2023-04-01
-0.2528211964967546,293.2023-05-01
-0.3983718809277531,293.2023-06-01
-0.7700436568940962,293.2023-07-01
-0.39079512922319093,293.2023-08-01
-0.7997085661084884,293.2023-09-01
-0.19056341300200907,293.2023-10-01
0.32986953540854147,293.2023-11-01
-1.400686237723223,373.2022-04-01
-1.41021496613735,373.2022-05-01
-1.3951128305371576,373.2022-06-01
-1.351219038461289,373.2022-07-01
-1.4171753041430426,373.2022-08-01
-1.2209245930549555,373.2022-09-01
-1.3584875833165533,373.2022-10-01
-1.320706560412187,373.2022-11-01
-1.501906503708755,373.2022-12-01
-1.3712267997407268,373.2023-01-01
-1.2774291820341903,373.2023-02-01
-1.3466216196301561,373.2023-03-01
-1.064381197676443,373.2023-04-01
-1.3590269453014965,373.2023-05-01
-1.3002878566663942,373.2023-06-01
-1.2925570015377876,373.2023-07-01
-1.0575235952857542,373.2023-08-01
-1.2169435879206258,373.2023-09-01
-1.0441165973544346,373.2023-10-01
-0.9734858611292422,373.2023-11-01
-0.023155726196097196,383.2022-04-01
-0.48107405207080245,383.2022-05-01
-0.27282895777568006,383.2022-06-01
-0.377336763484336,383.2022-07-01
-0.42991171513953597,383.2022-08-01
-0.3457198775598043,383.2022-09-01
-0.3251727542945877,383.2022-10-01
-0.4914503493190107,383.2022-11-01
-0.2833336745450209,383.2022-12-01
-0.08420636619847148,383.2023-01-01
-0.15894652707652887,383.2023-02-01
-0.1695539794621071,383.2023-03-01
-0.1669342212457639,383.2023-04-01
-0.03730755734520672,383.2023-05-01
-0.08102156209172642,383.2023-06-01
-0.15309059694475824,383.2023-07-01
-0.1679358935038448,383.2023-08-01
-0.005305412857480461,383.2023-09-01
0.38334342370788216,383.2023-10-01
0.6297804833731545,383.2023-11-01
-1.2655632183480725,392.2022-04-01
-1.0662561226730098,392.2022-05-01
-1.2074662273147783,392.2022-06-01
-1.0660506514405197,392.2022-07-01
-1.1737175773509019,392.2022-08-01
-1.034356713803944,392.2022-09-01
-1.1992216941041924,392.2022-10-01
-1.141587013344436,392.2022-11-01
-1.0286292031930013,392.2022-12-01
-1.1049360822200287,392.2023-01-01
-1.1127439890607058,392.2023-02-01
-0.9218868978293674,392.2023-03-01
-1.0465308843379315,392.2023-04-01
-0.8756815543862041,392.2023-05-01
-1.1260996191833106,392.2023-06-01
-1.1572028270261323,392.2023-07-01
-1.094611152778874,392.2023-08-01
-1.0311462257933086,392.2023-09-01
-1.0506659928950781,392.2023-10-01
-1.1319812332180532,392.2023-11-01
-0.30930010156983,471.2022-04-01
0.3408879302588026,471.2022-05-01
-0.17348361678646726,471.2022-06-01
-0.28805951289348275,471.2022-07-01
0.10749829386856256,471.2022-08-01
0.04647333777218112,471.2022-09-01
0.24942754782533205,471.2022-10-01
0.9878141062716823,471.2022-11-01
-0.014269095381032822,471.2022-12-01
0.9477728998099032,471.2023-01-01
0.5116602085021393,471.2023-02-01
0.20484029034238485,471.2023-03-01
0.2202249488869783,471.2023-04-01
1.3397349600009032,471.2023-05-01
0.6058687686738354,471.2023-06-01
