P_avg_per_m_sec_scaled,index
-0.742279356583952,832.2022-12-01
-0.6302975347869461,832.2023-01-01
-0.6927351056100014,832.2023-02-01
-0.6437045327176885,832.2023-03-01
-0.5218600917532398,832.2023-04-01
-0.6324036149216604,832.2023-05-01
-0.7076317699774931,832.2023-06-01
-0.6553907090749449,832.2023-07-01
-0.5940318622233285,832.2023-08-01
-0.6519747498320545,832.2023-09-01
-0.5178020349083023,832.2023-10-01
-0.5711475036863716,832.2023-11-01
-1.3796511202799384,859.2022-04-01
-1.5010075670668315,859.2022-05-01
-1.4497938623275586,859.2022-06-01
-1.3471866655204394,859.2022-07-01
-1.3909520380759666,859.2022-08-01
-1.426138986668145,859.2022-09-01
-1.501726716381124,859.2022-10-01
-1.487369413999352,859.2022-11-01
-1.3116658261751966,859.2022-12-01
-1.302419620705719,859.2023-01-01
-1.3984003702597123,859.2023-02-01
-1.392159181567815,859.2023-03-01
-1.3739492935737607,859.2023-04-01
-1.4637659061481023,859.2023-05-01
-1.503293434530119,859.2023-06-01
-1.4595537458786736,859.2023-07-01
-1.4138363966129235,859.2023-08-01
-1.2934302542770602,859.2023-09-01
-1.4334588993314814,859.2023-10-01
-1.3317249552631465,859.2023-11-01
0.5208293622589282,885.2022-04-01
0.669230960044043,885.2022-05-01
0.442236615768369,885.2022-06-01
0.6430333778805233,885.2022-07-01
0.6701298966869089,885.2022-08-01
0.6793247343482227,885.2022-09-01
0.6161680142108746,885.2022-10-01
0.6241813922844218,885.2022-11-01
0.6571852090296403,885.2022-12-01
0.7002571161749567,885.2023-01-01
0.6091563083965208,885.2023-02-01
0.6199692320149932,885.2023-03-01
0.6084628429863099,885.2023-04-01
0.7211894980016905,885.2023-05-01
0.6223578350946082,885.2023-06-01
0.645730187809121,885.2023-07-01
0.7124312867097687,885.2023-08-01
0.7052397935668417,885.2023-09-01
0.6797870446216966,885.2023-10-01
0.7581743198796008,885.2023-11-01
3.175081061792871,104.2023-12-01
3.219360112430036,104.2024-01-01
3.0333572790690457,104.2024-02-01
3.0231350852444563,104.2024-03-01
3.0309943598935125,104.2024-04-01
2.991441147607414,104.2024-05-01
1.2831533193132711,142.2023-12-01
1.3615405945711754,142.2024-01-01
1.443523616400543,142.2024-02-01
1.3837571716020034,142.2024-03-01
1.1457444324752017,142.2024-04-01
1.2303472125209214,142.2024-05-01
0.28047938786067544,178.2023-12-01
0.11302033324680409,178.2024-01-01
0.2452153875562513,178.2024-02-01
0.2920371446975224,178.2024-03-01
0.27113044677487036,178.2024-04-01
0.3407338268367709,178.2024-05-01
0.42603007229270135,218.2023-12-01
0.8010921236004258,218.2024-01-01
0.7031850812402912,218.2024-02-01
0.5560933625633524,218.2024-03-01
0.8220501893312416,218.2024-04-01
0.6009888268984823,218.2024-05-01
-0.0242344501667739,26.2023-12-01
0.24200489954601603,26.2024-01-01
0.17003860030858237,26.2024-02-01
0.19120213727205324,26.2024-03-01
0.17594589824741524,26.2024-04-01
0.3497488771695115,26.2024-05-01
-0.30064462589598917,293.2023-12-01
-0.6624280987933806,293.2024-01-01
0.43835834625200476,293.2024-02-01
0.31314931385282946,293.2024-03-01
0.0627569329585608,293.2024-04-01
-0.10023312234506307,293.2024-05-01
-0.8312227164195097,373.2023-12-01
-0.7694015592944196,373.2024-01-01
-0.9458756642410315,373.2024-02-01
-0.8637642228912544,373.2024-03-01
-0.8648943146708572,373.2024-04-01
-0.9539147262186606,373.2024-05-01
0.6956083295361359,383.2023-12-01
1.21586149061874,383.2024-01-01
1.064018249686653,383.2024-02-01
0.8210485170720482,383.2024-03-01
1.2535911457150248,383.2024-04-01
0.9212671107995521,383.2024-05-01
-0.7521162918473129,392.2023-12-01
-0.8388508359318287,392.2024-01-01
-1.038568874072544,392.2024-02-01
-0.9839648939944626,392.2024-03-01
-0.9586405645697269,392.2024-04-01
-0.7005173285468117,392.2024-05-01
0.8757295488623752,471.2023-12-01
0.6284706042660961,471.2024-01-01
1.7105334832357895,471.2024-02-01
1.4167353044431399,471.2024-03-01
1.0678451513948535,471.2024-04-01
1.0251585028107653,471.2024-05-01
-0.1192648952697377,479.2023-12-01
