,Unnamed: 0,City,P_avg_per_m_sec,Population,P_avg_per_m_new,Expl_t_avg_sec,month,dummy_space,dummy_time,year,t,Reg_russian,Reg,Federal_district,lat,lon,city_id
21,21,Абаза,39990,12272,,,4,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
22,22,Абаза,29263,12272,,,5,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
23,23,Абаза,36952,12272,,7 д 1 ч,6,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
24,24,Абаза,30629,12272,,124 д,7,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
25,25,Абаза,22034,12272,,25 д 9 ч,8,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
26,26,Абаза,19900,12272,,9 д 8 ч,9,0,0,2022,45,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
27,27,Абаза,23179,12272,,81 д 5 ч,10,0,0,2022,46,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
28,28,Абаза,23627,12272,,13 д 10 ч,11,0,0,2022,47,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
29,29,Абаза,34106,12272,,8 д 16 ч,12,0,0,2022,48,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
30,30,Абаза,45832,12272,,14 д 20 ч,1,0,0,2023,49,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
31,31,Абаза,34528,12272,,11 д 12 ч,2,0,0,2023,50,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
32,32,Абаза,30172,12272,,7 д 22 ч,3,0,0,2023,51,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
33,33,Абаза,38462,12272,,25 д 13 ч,4,0,0,2023,52,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
34,34,Абаза,36750,12272,,143 д 21 ч,5,0,0,2023,53,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
35,35,Абаза,35599,12272,,47 д 6 ч,6,0,0,2023,54,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
36,36,Абаза,35640,12272,,15 д,7,0,0,2023,55,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
37,37,Абаза,35465,12272,,235 д 12 ч,8,0,0,2023,56,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
38,38,Абаза,42552,12272,,121 д 19 ч,9,0,0,2023,57,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
39,39,Абаза,35509,12272,,19 д 19 ч,10,0,0,2023,58,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
40,40,Абаза,36167,12272,,171 д 4 ч,11,0,0,2023,59,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
41,41,Абаза,42084,12272,,65 д 13 ч,12,0,1,2023,60,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
42,42,Абаза,36745,12272,,,1,0,1,2024,61,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
43,43,Абаза,24546,12272,,121 д 19 ч,2,0,1,2024,62,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
44,44,Абаза,44894,12272,,,3,0,1,2024,63,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
45,45,Абаза,49134,12272,,,4,0,1,2024,64,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
46,46,Абаза,38226,12272,,24 д 13 ч,5,0,1,2024,65,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
86,86,Абакан,86893,184769,84450.0,52 д 5 ч,4,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
87,87,Абакан,86563,184769,82008.0,32 д 19 ч,5,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
88,88,Абакан,86842,184769,87430.0,93 д 16 ч,6,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
89,89,Абакан,87000,184769,79514.0,83 д 4 ч,7,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
90,90,Абакан,87085,184769,82284.0,72 д 3 ч,8,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
91,91,Абакан,87500,184769,86468.0,93 д 17 ч,9,0,0,2022,45,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
92,92,Абакан,87391,184769,82390.0,77 д 13 ч,10,0,0,2022,46,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
93,93,Абакан,86560,184769,88017.0,76 д 4 ч,11,0,0,2022,47,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
94,94,Абакан,89787,184769,87108.0,94 д 3 ч,12,0,0,2022,48,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
95,95,Абакан,90040,184769,,105 д 7 ч,1,0,0,2023,49,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
96,96,Абакан,89686,184769,82870.0,69 д 8 ч,2,0,0,2023,50,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
97,97,Абакан,91667,184769,82000.0,84 д 6 ч,3,0,0,2023,51,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
98,98,Абакан,91214,184769,90344.0,73 д 22 ч,4,0,0,2023,52,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
99,99,Абакан,92792,184769,87041.0,72 д 7 ч,5,0,0,2023,53,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
100,100,Абакан,91816,184769,89400.0,69 д 20 ч,6,0,0,2023,54,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
101,101,Абакан,95825,184769,105384.0,62 д 9 ч,7,0,0,2023,55,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
102,102,Абакан,94881,184769,93169.0,74 д 21 ч,8,0,0,2023,56,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
103,103,Абакан,98214,184769,98294.0,100 д 22 ч,9,0,0,2023,57,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
104,104,Абакан,111000,184769,195000.0,127 д 23 ч,10,0,0,2023,58,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
105,105,Абакан,103045,184769,196000.0,83 д 1 ч,11,0,0,2023,59,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
106,106,Абакан,107030,184769,197000.0,82 д 9 ч,12,0,1,2023,60,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
107,107,Абакан,106870,184769,205000.0,118 д 15 ч,1,0,1,2024,61,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
108,108,Абакан,101136,184769,180205.0,76 д 8 ч,2,0,1,2024,62,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
109,109,Абакан,108025,184769,255554.0,31 д 3 ч,3,0,1,2024,63,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
110,110,Абакан,107872,184769,134322.0,134 д 16 ч,4,0,1,2024,64,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
111,111,Абакан,109192,184769,137420.0,85 д 3 ч,5,0,1,2024,65,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
188,188,Абинск,76906,39511,,,4,0,0,2022,40,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
189,189,Абинск,84890,39511,,,5,0,0,2022,41,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
190,190,Абинск,79272,39511,,237 д,6,0,0,2022,42,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
191,191,Абинск,86154,39511,,13 д 1 ч,7,0,0,2022,43,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
192,192,Абинск,77381,39511,,225 д 9 ч,8,0,0,2022,44,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
193,193,Абинск,81165,39511,,48 д 19 ч,9,0,0,2022,45,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
194,194,Абинск,79929,39511,,37 д 11 ч,10,0,0,2022,46,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
195,195,Абинск,82018,39511,,,11,0,0,2022,47,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
196,196,Абинск,81045,39511,,70 д 17 ч,12,0,0,2022,48,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
197,197,Абинск,81922,39511,,28 д 3 ч,1,0,0,2023,49,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
198,198,Абинск,75000,39511,,28 д 18 ч,2,0,0,2023,50,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
199,199,Абинск,84098,39511,,124 д 1 ч,3,0,0,2023,51,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
200,200,Абинск,86271,39511,,58 д 6 ч,4,0,0,2023,52,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
201,201,Абинск,87228,39511,,175 д 1 ч,5,0,0,2023,53,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
202,202,Абинск,84337,39511,,48 д 23 ч,6,0,0,2023,54,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
203,203,Абинск,93976,39511,,35 д 21 ч,7,0,0,2023,55,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
204,204,Абинск,94749,39511,,289 д 20 ч,8,0,0,2023,56,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
205,205,Абинск,75875,39511,,143 д 11 ч,9,0,0,2023,57,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
206,206,Абинск,91743,39511,,62 д 13 ч,10,0,0,2023,58,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
207,207,Абинск,88697,39511,,17 д 19 ч,11,0,0,2023,59,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
208,208,Абинск,92524,39511,,,12,0,1,2023,60,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
209,209,Абинск,95661,39511,,2 д,1,0,1,2024,61,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
210,210,Абинск,87922,39511,,,2,0,1,2024,62,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
211,211,Абинск,87368,39511,,180 д 16 ч,3,0,1,2024,63,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
212,212,Абинск,95587,39511,,17 д 2 ч,4,0,1,2024,64,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
213,213,Абинск,96825,39511,,,5,0,1,2024,65,Краснодарский край,krasnodarskiy-kray,Южный,44.86667,38.16667,90
249,249,Агидель,22414,14219,,4 д 15 ч,4,0,0,2022,40,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
250,250,Агидель,18182,14219,,43 д,5,0,0,2022,41,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
251,251,Агидель,17963,14219,,46 д 7 ч,6,0,0,2022,42,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
252,252,Агидель,21370,14219,,141 д 2 ч,7,0,0,2022,43,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
253,253,Агидель,21111,14219,,124 д 23 ч,8,0,0,2022,44,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
254,254,Агидель,18054,14219,,15 д 19 ч,9,0,0,2022,45,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
255,255,Агидель,21051,14219,,202 д 21 ч,10,0,0,2022,46,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
256,256,Агидель,20698,14219,,16 д 15 ч,11,0,0,2022,47,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
257,257,Агидель,18605,14219,,40 д 22 ч,12,0,0,2022,48,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
258,258,Агидель,22762,14219,,72 д 21 ч,1,0,0,2023,49,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
259,259,Агидель,22892,14219,,27 д 21 ч,2,0,0,2023,50,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
260,260,Агидель,23997,14219,,12 д 20 ч,3,0,0,2023,51,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
261,261,Агидель,24098,14219,,11 д 12 ч,4,0,0,2023,52,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
262,262,Агидель,30916,14219,,193 д 4 ч,5,0,0,2023,53,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
263,263,Агидель,25876,14219,,122 д,6,0,0,2023,54,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
264,264,Агидель,28333,14219,,19 д 10 ч,7,0,0,2023,55,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
265,265,Агидель,28649,14219,,23 д 13 ч,8,0,0,2023,56,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
266,266,Агидель,25906,14219,,35 д 22 ч,9,0,0,2023,57,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
267,267,Агидель,32675,14219,,39 д 8 ч,10,0,0,2023,58,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
268,268,Агидель,31579,14219,,30 д 9 ч,11,0,0,2023,59,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
269,269,Агидель,28067,14219,,40 д 5 ч,12,0,1,2023,60,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
270,270,Агидель,38023,14219,,,1,0,1,2024,61,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
271,271,Агидель,34774,14219,,87 д 12 ч,2,0,1,2024,62,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
272,272,Агидель,36364,14219,,17 д,3,0,1,2024,63,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
273,273,Агидель,33390,14219,,97 д 3 ч,4,0,1,2024,64,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
274,274,Агидель,38333,14219,,1 д,5,0,1,2024,65,Республика Башкортостан,respublika-bashkortostan,Приволжский,55.9,53.93333,250
309,309,Агрыз,39535,19991,,,4,0,0,2022,40,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
310,310,Агрыз,34671,19991,,,5,0,0,2022,41,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
311,311,Агрыз,36000,19991,,6 д 21 ч,6,0,0,2022,42,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
312,312,Агрыз,32915,19991,,,7,0,0,2022,43,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
313,313,Агрыз,35166,19991,,36 д,8,0,0,2022,44,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
314,314,Агрыз,37931,19991,,11 д 23 ч,9,0,0,2022,45,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
315,315,Агрыз,46465,19991,,13 д 20 ч,10,0,0,2022,46,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
316,316,Агрыз,36810,19991,,55 д 1 ч,11,0,0,2022,47,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
317,317,Агрыз,33248,19991,,37 д 18 ч,12,0,0,2022,48,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
318,318,Агрыз,37439,19991,,101 д 4 ч,1,0,0,2023,49,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
319,319,Агрыз,36658,19991,,13 д,2,0,0,2023,50,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
320,320,Агрыз,43214,19991,,32 д 13 ч,3,0,0,2023,51,Республика Татарстан,respublika-tatarstan,Приволжский,56.51667,52.98333,788
